Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Guadeloupe;3-Max Mathiasin;Max Mathiasin;max.mathiasin@assemblee-nationale.fr, Max.Mathiasin@assemblee-nationale.fr;3;Max;Mathiasin;720976;Affaires économiques;720976;https://www.assemblee-nationale.fr/dyn/deputes/PA720976;Guadeloupe;Fonction publique territoriale;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Pyrénées-Atlantiques;2-Jean-Paul Mattei;Jean-Paul Mattei;Jean-Paul.Mattei@assemblee-nationale.fr, jean-paul.mattei@assemblee-nationale.fr;2;Jean-Paul;Mattei;720728;Finances, de l'économie générale et du contrôle budgétaire;720728;https://www.assemblee-nationale.fr/dyn/deputes/PA720728;Nouvelle-Aquitaine;Notaire;Les Démocrates;Dem;;;
Haute-Vienne;1-Damien Maudet;Damien Maudet;damien.maudet@assemblee-nationale.fr;1;Damien;Maudet;795422;Finances, de l'économie générale et du contrôle budgétaire;795422;https://www.assemblee-nationale.fr/dyn/deputes/PA795422;Nouvelle-Aquitaine;Cadre administratif et commercial d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Val-d'Oise;3-Emmanuel Maurel;Emmanuel Maurel;emmanuel.maurel@assemblee-nationale.fr;3;Emmanuel;Maurel;842271;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842271;Ile-de-France;(34) - Professeur, profession scientifique;Gauche Démocrate et Républicaine;GDR;;;
Eure;3-Kévin Mauvieux;Kévin Mauvieux;kevin.mauvieux@assemblee-nationale.fr;3;Kévin;Mauvieux;793616;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793616;Normandie;Conseiller en assurance;Rassemblement National;RN;;;
Puy-de-Dôme;1-Marianne Maximi;Marianne Maximi;marianne.maximi@assemblee-nationale.fr;1;Marianne;Maximi;794686;Finances, de l'économie générale et du contrôle budgétaire;794686;https://www.assemblee-nationale.fr/dyn/deputes/PA794686;Auvergne-Rhône-Alpes;Profession intermédiaire de la santé et du travail social;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Aveyron;1-Stéphane Mazars;Stéphane Mazars;Stephane.Mazars@assemblee-nationale.fr, stephane.mazars@assemblee-nationale.fr;1;Stéphane;Mazars;677483;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA677483;Occitanie;Avocat;Ensemble pour la République;EPR;;;
Yvelines;11-Laurent Mazaury;Laurent Mazaury;laurent.mazaury@assemblee-nationale.fr;11;Laurent;Mazaury;841931;Affaires étrangères;841931;https://www.assemblee-nationale.fr/dyn/deputes/PA841931;Ile-de-France;(37) - Cadre administratif et commercial d'entreprise;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Gard;2-Nicolas Meizonnet;Nicolas Meizonnet;nicolas.meizonnet@assemblee-nationale.fr;2;Nicolas;Meizonnet;719436;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719436;Occitanie;Ingénieur en informatique;Rassemblement National;RN;;;
Finistère;5-Graziella Melchior;Graziella Melchior;Graziella.Melchior@assemblee-nationale.fr, graziella.melchior@assemblee-nationale.fr;5;Graziella;Melchior;719338;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719338;Bretagne;Professeure agrégée;Ensemble pour la République;EPR;;;
Bouches-du-Rhône;9-Joëlle Mélin;Joëlle Mélin;joelle.melin@assemblee-nationale.fr;9;Joëlle;Mélin;793354;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793354;Provence-Alpes-Côte d'Azur;Médecin expert judiciaire;Rassemblement National;RN;;;
Somme;5-Yaël Ménaché;Yaël Ménaché;yael.menache@assemblee-nationale.fr;5;Yaël;Ménaché;795786;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795786;Hauts-de-France;Commerciale;Rassemblement National;RN;;;
Loiret;4-Thomas Ménagé;Thomas Ménagé;thomas.menage@assemblee-nationale.fr;4;Thomas;Ménagé;794322;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794322;Centre-Val de Loire;Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Moselle;2-Ludovic Mendes;Ludovic Mendes;ludovic.mendes@assemblee-nationale.fr, Ludovic.Mendes@assemblee-nationale.fr;2;Ludovic;Mendes;720370;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720370;Grand Est;Cadre supérieur (secteur privé);Ensemble pour la République;EPR;;;
Meurthe-et-Moselle;1-Estelle Mercier;Estelle Mercier;estelle.mercier@assemblee-nationale.fr;1;Estelle;Mercier;841463;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841463;Grand Est;(34) - Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Ille-et-Vilaine;1-Marie Mesmeur;Marie Mesmeur;marie.mesmeur@assemblee-nationale.fr;1;Marie;Mesmeur;841215;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841215;Bretagne;Educatrice spécialisée;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Gironde;9-Sophie Mette;Sophie Mette;Sophie.Mette@assemblee-nationale.fr, sophie.mette@assemblee-nationale.fr;9;Sophie;Mette;719640;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719640;Nouvelle-Aquitaine;Sans profession déclarée;Les Démocrates;Dem;;;
Nouvelle-Calédonie;1-Nicolas Metzdorf;Nicolas Metzdorf;nicolas.metzdorf@assemblee-nationale.fr;1;Nicolas;Metzdorf;795176;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795176;Nouvelle-Calédonie;Ingénieur et cadre technique d'entreprise;Ensemble pour la République;EPR;;;
Corrèze;2-Frédérique Meunier;Frédérique Meunier;frederique.meunier@assemblee-nationale.fr, Frederique.Meunier@assemblee-nationale.fr;2;Frédérique;Meunier;719272;Affaires culturelles et de l'éducation;719272;https://www.assemblee-nationale.fr/dyn/deputes/PA719272;Nouvelle-Aquitaine;Avocate;Droite Républicaine;DR;;;
Haute-Vienne;3-Manon Meunier;Manon Meunier;manon.meunier@assemblee-nationale.fr;3;Manon;Meunier;795482;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795482;Nouvelle-Aquitaine;Cadre de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Gard;4-Pierre Meurin;Pierre Meurin;pierre.meurin@assemblee-nationale.fr;4;Pierre;Meurin;793852;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793852;Occitanie;Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Marne;3-Maxime Michelet;Maxime Michelet;maxime.michelet@assemblee-nationale.fr;3;Maxime;Michelet;841395;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841395;Grand Est;Historien;UDR;UDR;;;
Saône-et-Loire;4-Éric Michoux;Éric Michoux;eric.michoux@assemblee-nationale.fr;4;Éric;Michoux;841769;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841769;Bourgogne-Franche-Comté;(23) - Chef d'entreprise de 10 salariés ou plus;UDR;UDR;;;
Essonne;5-Paul Midy;Paul Midy;paul.midy@assemblee-nationale.fr;5;Paul;Midy;795664;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795664;Ile-de-France;Chef d'entreprise de 10 salariés ou plus;Ensemble pour la République;EPR;;;
Marne;2-Laure Miller;Laure Miller;laure.miller@assemblee-nationale.fr;2;Laure;Miller;817203;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA817203;Grand Est;Avocate;Ensemble pour la République;EPR;;;
Morbihan;4-Paul Molac;Paul Molac;paul.molac@assemblee-nationale.fr, Paul.Molac@assemblee-nationale.fr;4;Paul;Molac;607619;Lois constitutionnelles, de la législation et de l'administration générale de la République;607619;https://www.assemblee-nationale.fr/dyn/deputes/PA607619;Bretagne;Professeur du secondaire;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Allier;1-Yannick Monnet;Yannick Monnet;yannick.monnet@assemblee-nationale.fr;1;Yannick;Monnet;793174;Affaires sociales;793174;https://www.assemblee-nationale.fr/dyn/deputes/PA793174;Auvergne-Rhône-Alpes;Cadre de la fonction publique;Gauche Démocrate et Républicaine;GDR;;;
Drôme;4-Thibaut Monnier;Thibaut Monnier;thibaut.monnier@assemblee-nationale.fr;4;Thibaut;Monnier;840915;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840915;Auvergne-Rhône-Alpes;(37) - Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Bas-Rhin;6-Louise Morel;Louise Morel;louise.morel@assemblee-nationale.fr;6;Louise;Morel;794810;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794810;Grand Est;Cadre administratif et commercial d'entreprise;Les Démocrates;Dem;;;
Val-d'Oise;4-Naïma Moutchou;Naïma Moutchou;naima.moutchou@assemblee-nationale.fr, Naima.Moutchou@assemblee-nationale.fr;4;Naïma;Moutchou;720908;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720908;Ile-de-France;Avocat;Horizons & Indépendants;HOR;;;
Dordogne;2-Serge Muller;Serge Muller;serge.muller@assemblee-nationale.fr;2;Serge;Muller;793696;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793696;Nouvelle-Aquitaine;Profession intermédiaire de la santé et du travail social;Rassemblement National;RN;;;
Martinique;2-Marcellin Nadeau;Marcellin Nadeau;marcellin.nadeau@assemblee-nationale.fr;2;Marcellin;Nadeau;795820;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795820;Martinique;Cadre de la fonction publique;Gauche Démocrate et Républicaine;GDR;;;
Vosges;3-Christophe Naegelen;Christophe Naegelen;Christophe.Naegelen@assemblee-nationale.fr, christophe.naegelen@assemblee-nationale.fr;3;Christophe;Naegelen;721486;Affaires économiques;721486;https://www.assemblee-nationale.fr/dyn/deputes/PA721486;Grand Est;Industriel-Chef d'entreprise;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Réunion;1-Philippe Naillet;Philippe Naillet;philippe.naillet@assemblee-nationale.fr;1;Philippe;Naillet;643157;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA643157;Réunion;Inspecteur assurance-vie;Socialistes et apparentés;SOC;;;
Isère;7-Yannick Neuder;Yannick Neuder;yannick.neuder@assemblee-nationale.fr;7;Yannick;Neuder;794038;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794038;Auvergne-Rhône-Alpes;Cardiologue;Droite Républicaine;DR;;;
Martinique;4-Jean-Philippe Nilor;Jean-Philippe Nilor;jean-philippe.nilor@assemblee-nationale.fr, Jean-Philippe.Nilor@assemblee-nationale.fr;4;Jean-Philippe;Nilor;610654;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA610654;Martinique;Collaborateur parlementaire;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Isère;9-Sandrine Nosbé;Sandrine Nosbé;sandrine.nosbe@assemblee-nationale.fr;9;Sandrine;Nosbé;841191;Affaires économiques;841191;https://www.assemblee-nationale.fr/dyn/deputes/PA841191;Auvergne-Rhône-Alpes;(54) - Employé administratif d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Orne;3-Jérôme Nury;Jérôme Nury;Jerome.Nury@assemblee-nationale.fr, jerome.nury@assemblee-nationale.fr;3;Jérôme;Nury;720644;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720644;Normandie;Cadre de la fonction publique;Droite Républicaine;DR;;;
Haute-Garonne;10-Jacques Oberti;Jacques Oberti;jacques.oberti@assemblee-nationale.fr;10;Jacques;Oberti;841107;Finances, de l'économie générale et du contrôle budgétaire;841107;https://www.assemblee-nationale.fr/dyn/deputes/PA841107;Occitanie;(38) - Ingénieur et cadre technique d'entreprise;Socialistes et apparentés;SOC;;;
Paris;17-Danièle Obono;Danièle Obono;daniele.obono@assemblee-nationale.fr, Daniele.Obono@assemblee-nationale.fr;17;Danièle;Obono;721960;Lois constitutionnelles, de la législation et de l'administration générale de la République;721960;https://www.assemblee-nationale.fr/dyn/deputes/PA721960;Ile-de-France;Bibliothécaire;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Yonne;3-Julien Odoul;Julien Odoul;julien.odoul@assemblee-nationale.fr;3;Julien;Odoul;795552;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795552;Bourgogne-Franche-Comté;Collaborateur parlementaire;Rassemblement National;RN;;;
Yvelines;12-Karl Olive;Karl Olive;karl.olive@assemblee-nationale.fr;12;Karl;Olive;795722;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795722;Ile-de-France;Chef d'entreprise;Ensemble pour la République;EPR;;;
Haut-Rhin;2-Hubert Ott;Hubert Ott;hubert.ott@assemblee-nationale.fr;2;Hubert;Ott;794830;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794830;Grand Est;Professeur, profession scientifique;Les Démocrates;Dem;;;
Essonne;9-Julie Ozenne;Julie Ozenne;julie.ozenne@assemblee-nationale.fr;9;Julie;Ozenne;842045;Développement durable et de l'aménagement du territoire;842045;https://www.assemblee-nationale.fr/dyn/deputes/PA842045;Ile-de-France;(38) - Ingénieur et cadre technique d'entreprise;Écologiste et Social;EcoS;;;
Hérault;2-Nathalie Oziol;Nathalie Oziol;nathalie.oziol@assemblee-nationale.fr;2;Nathalie;Oziol;793872;Affaires étrangères;793872;https://www.assemblee-nationale.fr/dyn/deputes/PA793872;Occitanie;Professeur, profession scientifique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Morbihan;2-Jimmy Pahun;Jimmy Pahun;jimmy.pahun@assemblee-nationale.fr, Jimmy.Pahun@assemblee-nationale.fr;2;Jimmy;Pahun;720334;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720334;Bretagne;Navigateur;Les Démocrates;Dem;;;
Ariège;2-Laurent Panifous;Laurent Panifous;laurent.panifous@assemblee-nationale.fr;2;Laurent;Panifous;793210;Affaires sociales;793210;https://www.assemblee-nationale.fr/dyn/deputes/PA793210;Occitanie;Directeur d'établissements sanitaires et sociaux;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Pas-de-Calais;2-Agnès Pannier-Runacher;Agnès Pannier-Runacher;agnes.pannier-runacher@assemblee-nationale.fr;2;Agnès;Pannier-Runacher;759832;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA759832;Hauts-de-France;(33) - Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Gironde;8-Sophie Panonacle;Sophie Panonacle;sophie.panonacle@assemblee-nationale.fr, Sophie.Panonacle@assemblee-nationale.fr;8;Sophie;Panonacle;719632;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719632;Nouvelle-Aquitaine;Sans profession déclarée;Ensemble pour la République;EPR;;;
Paris;4-Astrid Panosyan-Bouvet;Astrid Panosyan-Bouvet;astrid.panosyan-bouvet@assemblee-nationale.fr;4;Astrid;Panosyan-Bouvet;795050;Affaires étrangères;795050;https://www.assemblee-nationale.fr/dyn/deputes/PA795050;Ile-de-France;Cadre administratif et commercial d'entreprise;Ensemble pour la République;EPR;;;
Val-de-Marne;10-Mathilde Panot;Mathilde Panot;Mathilde.Panot@assemblee-nationale.fr, mathilde.panot@assemblee-nationale.fr;10;Mathilde;Panot;720892;Affaires étrangères;720892;https://www.assemblee-nationale.fr/dyn/deputes/PA720892;Ile-de-France;Coordinatrice de projets associatifs;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Lozère;1-Sophie Pantel;Sophie Pantel;sophie.pantel@assemblee-nationale.fr;1;Sophie;Pantel;841381;Finances, de l'économie générale et du contrôle budgétaire;841381;https://www.assemblee-nationale.fr/dyn/deputes/PA841381;Occitanie;(45) - Profession intermédiaire administrative de la fonction publique;Socialistes et apparentés;SOC;;;32 sign de la Cas / 72 membres 
Pas-de-Calais;9-Caroline Parmentier;Caroline Parmentier;caroline.parmentier@assemblee-nationale.fr;9;Caroline;Parmentier;794670;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794670;Hauts-de-France;Attachée de Presse;Rassemblement National;RN;;;
Nord;6-Charlotte Parmentier-Lecocq;Charlotte Parmentier-Lecocq;charlotte.lecocq@assemblee-nationale.fr, Charlotte.Lecocq@assemblee-nationale.fr;6;Charlotte;Parmentier-Lecocq;720480;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720480;Hauts-de-France;Industriel-Chef d'entreprise;Horizons & Indépendants;HOR;;;
Calvados;3-Jérémie Patrier-Leitus;Jérémie Patrier-Leitus;jeremie.patrier-leitus@assemblee-nationale.fr;3;Jérémie;Patrier-Leitus;793398;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793398;Normandie;Cadre de la fonction publique;Horizons & Indépendants;HOR;;;
